Naslov,Mesto,Doplacilo,Posta,Cena,Ime_lokala
Nove Fužine 43,LJUBLJANA,"2,94",1778,"5,63",OKREPČEVALNICA AZZURRO
Kardeljeva ploščad 5,LJUBLJANA,"1,20",1615,"3,89",OKREPČEVALNICA BADOVINAC
Partizanska 50,MARIBOR,"1,94",1224,"4,63",OKREPČEVALNICA BOBER (PARTIZANSKA)
Poljanska cesta 7,LJUBLJANA,"1,14",2935,"3,83",OKREPČEVALNICA BUREK
Prešernova 17,MARIBOR,"2,81",2652,"5,50",OKREPČEVALNICA IZUM
Hajdrihova 19,LJUBLJANA,"3,11",1541,"5,80",OKREPČEVALNICA KEMIJSKI INŠTITUT
Pivola 10,HOČE,"1,94",3001,"4,63",OKREPČEVALNICA MERANOVO
Celjska cesta 48 b,SLOVENJ GRADEC,"2,31",1234,"5,00",OKREPČEVALNICA MINUTKA
Koroška cesta 9,MARIBOR,"1,94",2360,"4,63",OKREPČEVALNICA MM PANDA
Ulica Vita Kraigherja 5,MARIBOR,"2,44",3003,"5,13",OKREPČEVALNICA NOODLE BOX
Koštialova 1,NOVO MESTO,"3,31",2432,"6,00",OKREPČEVALNICA NOVAK
Kotnikova 5,LJUBLJANA,"1,34",2729,"4,03",OKREPČEVALNICA PEKARNA DOBROT
Koroška cesta 5,MARIBOR,"2,74",1237,"5,43",OKREPČEVALNICA PIVNICA ALF
Koroška cesta 5,MARIBOR,"3,24",1238,"5,93",OKREPČEVALNICA PIVNICA ALF - DOSTAVA
Adamič Lundrovo nabrežje 1,LJUBLJANA,"3,31",2311,"6,00",OKREPČEVALNICA RIBCA
Gosposvetska cesta 43c,MARIBOR,"3,11",2049,"5,80",OKREPČEVALNICA SARAJEVO
Glavni trg 5,MARIBOR,"2,74",2569,"5,43",OKREPČEVALNICA STARI GRIL
Usnjarska ulica 5,MARIBOR,"3,23",2776,"5,92",OKREPČEVALNICA ŠIŠ
Kardeljeva ploščad 5,LJUBLJANA,"0,00",2302,"2,69",OKREPČEVALNICA ŠUMI
